Date,Predicted_HHS_Care_Load
2023-03-07,8083.19
2023-03-02,8012.9
2023-03-01,8066.27
2023-02-28,8083.77
2023-02-27,8058.69
2023-02-26,8055.63
2023-02-23,7569.57
2023-02-22,8127.14
2023-02-21,8135.31
2023-02-20,8119.61
2023-02-16,8055.44
2023-02-15,8055.92
2023-02-14,8038.84
2023-02-13,7996.32
2023-02-12,7557.84
2023-02-09,7556.48
2023-02-08,8090.57
2023-02-07,8093.6
2023-02-06,8043.51
2023-02-05,7628.12
2023-02-02,7590.29
2023-02-01,8075.72
2023-01-31,8130.36
2023-01-30,8047.57
2023-01-29,7722.84
2023-01-25,7502.52
2023-01-24,7517.93
2023-01-23,7421.93
2023-01-22,7435.46
2023-01-12,7159.46
